metric1,metric2,correlation,p_value
EVC,Degree,0.9084692574260026,4.396394859221954e-27
EVC,Betweenness,0.2174846146626808,0.07263572160604014
EVC,Closeness,0.7730125061460963,7.126268575735199e-15
Degree,Betweenness,0.47547631027745807,3.648341002658812e-5
Degree,Closeness,0.9111950744103343,1.6701394077111662e-27
Betweenness,Closeness,0.6152041589693762,1.8590891934591414e-8
