network,n_nodes,n_edges,median_evc,gini_evc,avg_clustering
Full,71,755,0.1909975993202715,0.47302409760099345,0.7698501707428657
Giant_Component,69,754,0.20757293900693627,0.4577494337633411,0.7698501707428657
