resolution,n_communities,modularity,largest_community_size
0.1,3,0.37379529052580013,35
0.2,6,0.3618129880782177,32
0.30000000000000004,6,0.3582472758756216,31
0.4,9,0.34598444415331414,29
0.5,10,0.34501611975324814,29
0.6,11,0.323923735909456,29
0.7000000000000001,11,0.3228842111858555,29
0.8,11,0.32596433718194806,29
0.9,11,0.2815246552480333,18
1,38,0.12591207614447394,10
1.1,39,0.10960293003571403,9
1.2000000000000002,39,0.10960293003571403,9
1.3000000000000003,39,0.10960293003571403,9
1.4000000000000001,39,0.10960293003571403,9
1.5000000000000002,40,0.10698418213612358,9
1.6,40,0.10698418213612358,9
1.7000000000000002,40,0.10694003793553233,9
1.8000000000000003,40,0.10698418213612358,9
1.9000000000000001,40,0.10698418213612358,9
2,69,-0.017838529058276043,1
