threshold,n_nodes_full,n_edges_full,n_nodes_gc,n_edges_gc,gc_share_nodes,n_components,median_evc,gini_evc,density
1,71,755,69,754,0.971830985915493,2,0.20757293900693663,0.4577494337633409,0.3038229376257545
2,71,84,13,30,0.18309859154929578,39,0.9158592666939662,0.3796143417344737,0.03380281690140845
3,71,0,1,0,0.014084507042253521,71,NA,NA,0
4,71,0,1,0,0.014084507042253521,71,NA,NA,0
5,71,0,1,0,0.014084507042253521,71,NA,NA,0
