name,Gender,Country_1,Continent_1,Subregion_1,community,degree,strength,betweenness,closeness,pagerank,eigenvector,constraint,inv_constraint,degree_pct,strength_pct,betweenness_pct,closeness_pct,pagerank_pct,eigenvector_pct,inv_constraint_pct,sci_index
0000-0003-4244-2854,Male,United Kingdom,Europe,Northern Europe,1,5,5,1.9026315789473682,0.0058823529411764705,0.005611243968943268,0.013830806098398042,0.3040306122448979,3.2891316551467633,0.036231884057971016,0.036231884057971016,0.07246376811594203,0.028985507246376812,0.043478260869565216,0.014492753623188406,0.07246376811594203,0.043478260869565216
0000-0001-6796-2958,Male,United States of America,Americas,Northern America,2,18,21,25.839528518437188,0.006535947712418301,0.015098357146350355,0.08393310101082162,0.1595448901159833,6.267789156292532,0.34057971014492755,0.38405797101449274,0.7391304347826086,0.08695652173913043,0.42028985507246375,0.21739130434782608,0.391304347826087,0.36853002070393376
0000-0002-7927-3348,Male,Republic of Korea,Asia,Eastern Asia,3,4,4,0.6000000000000001,0.005847953216374269,0.005360407068745447,0.02783819280869256,0.55780029296875,1.7927531051026508,0.014492753623188406,0.014492753623188406,0.043478260869565216,0.014492753623188406,0.028985507246376812,0.028985507246376812,0.014492753623188406,0.022774327122153208
0000-0002-2759-6727,Male,United States of America,Americas,Northern America,4,28,28,81.9846860578362,0.00909090909090909,0.016306127490536764,0.43287445755257326,0.10057539538638695,9.94269078900943,0.5942028985507246,0.5507246376811594,0.927536231884058,0.8695652173913043,0.5072463768115942,0.5797101449275363,0.9565217391304348,0.7122153209109731
0000-0003-3163-6119,Male,Brazil,Americas,South America,5,5,5,0.1,0.006622516556291391,0.004717276457137324,0.08433827698395355,0.3009168044077135,3.323166610125535,0.036231884057971016,0.036231884057971016,0.014492753623188406,0.14492753623188406,0.014492753623188406,0.2318840579710145,0.08695652173913043,0.08074534161490683
0000-0003-3572-268X,Male,United States of America,Americas,Northern America,6,31,31,29.06322388577218,0.009345794392523364,0.016391619307517986,0.7500945439118006,0.11038379569010706,9.059218651881984,0.8043478260869565,0.6304347826086957,0.7681159420289855,0.9492753623188406,0.5362318840579711,0.6521739130434783,0.8985507246376812,0.7484472049689441
0000-0001-6556-8041,Female,Australia,Oceania,Australia and New Zealand,6,36,36,169.68890786704793,0.01,0.01978465967822206,0.7558244408276678,0.09138895200404733,10.94212195182807,0.9710144927536232,0.8260869565217391,0.9710144927536232,0.9710144927536232,0.9420289855072463,0.6956521739130435,0.9710144927536232,0.9068322981366459
0000-0002-2580-5361,Female,Canada,Americas,Northern America,4,21,27,12.827014557995511,0.008064516129032258,0.01707328462618391,0.19099759932027147,0.16734145799302813,5.975769759768093,0.45652173913043476,0.5,0.5289855072463768,0.39855072463768115,0.6666666666666666,0.4420289855072464,0.3188405797101449,0.47308488612836436
0000-0001-9139-2721,Male,United States of America,Americas,Northern America,2,7,9,0.37606837606837606,0.005952380952380952,0.007640099368123549,0.03492724499791995,0.2943654853382223,3.3971258611557507,0.13043478260869565,0.15942028985507245,0.028985507246376812,0.043478260869565216,0.14492753623188406,0.043478260869565216,0.10144927536231885,0.09316770186335403
0000-0003-0956-7997,Male,Austria,Europe,Western Europe,6,28,29,2.016378066378067,0.008849557522123894,0.015111362114391708,0.7528308192159947,0.12602066898420392,7.935143281790246,0.5942028985507246,0.5797101449275363,0.09420289855072464,0.7608695652173914,0.4492753623188406,0.6811594202898551,0.5797101449275363,0.5341614906832298
0000-0001-6762-828X,Male,Italy,Europe,Southern Europe,6,32,32,109.73476508945956,0.009259259259259259,0.01845644405152978,0.7365409488111594,0.10877247886058118,9.193417462373667,0.9347826086956522,0.6811594202898551,0.9565217391304348,0.9202898550724637,0.782608695652174,0.6231884057971014,0.927536231884058,0.8322981366459627
