community,n_editors,n_male,avg_sci
1,3,3,0.16183574879227053
10,3,1,0.2681159420289855
11,1,0,0.18840579710144928
2,4,2,0.22696687370600413
3,4,4,0.09497929606625259
4,16,12,0.5225155279503105
5,2,2,0.15838509316770186
6,29,24,0.7463054187192119
7,4,3,0.27976190476190477
8,1,1,0.16045548654244307
9,2,1,0.317287784679089
