resolution,modularity,num_communities
0.5,0.34165831249537193,10
0.6,0.32596433718194806,11
0.7,0.32594867311077047,11
0.8,0.32594867311077047,11
0.9,0.24504944150466218,11
1,0.12591207614447394,38
1.1,0.10960293003571403,39
1.2000000000000002,0.10960293003571403,39
1.3,0.10960293003571403,39
1.4,0.10960293003571403,39
1.5,0.10698418213612358,40
1.6,0.10698418213612358,40
1.7000000000000002,0.10698418213612358,40
1.8,0.10698418213612358,40
1.9000000000000001,0.10698418213612358,40
2,-0.017838529058276043,69
