Continent_1,n,median_sc,p_value
Africa,2,0.09492247271335111,0.14963716891251722
Americas,15,0.16722545597445657,0.14963716891251722
Asia,15,0.7326518323607097,0.14963716891251722
Europe,35,0.33108688561772365,0.14963716891251722
Oceania,2,0.7483441047631287,0.14963716891251722
