name,Gender,Continent_1,Country_1,Subregion_1,n_journals,community,EVC,degree,betweenness,EVC_pct,betweenness_pct,degree_pct
0000-0001-5139-444X,Male,Americas,United States of America,Northern America,3,1,0.8250783810859471,33,59.94371839093683,0.8405797101449275,0.8695652173913043,0.9565217391304348
0000-0001-6159-4947,Male,Europe,Italy,Southern Europe,2,1,0.7912307148256849,31,23.34659640316949,0.7101449275362319,0.6376811594202898,0.8043478260869565
0000-0001-6348-8734,Male,Europe,United Kingdom of Great Britain and Northern Ireland,Northern Europe,2,2,0.04582823787788175,6,8.746604463647808,0.07246376811594203,0.391304347826087,0.08695652173913043
0000-0001-6556-8041,Female,Oceania,Australia,Australia and New Zealand,2,1,0.7558244408276679,36,169.68890786704796,0.6956521739130435,0.9710144927536232,0.9710144927536232
0000-0001-6762-828X,Male,Europe,Italy,Southern Europe,2,1,0.7365409488111592,32,109.73476508945954,0.6231884057971014,0.9565217391304348,0.9347826086956522
0000-0001-6796-2958,Male,Americas,United States of America,Northern America,4,3,0.08393310101082159,18,25.839528518437188,0.21739130434782608,0.7391304347826086,0.34057971014492755
0000-0001-7015-2075,Male,Europe,Netherlands (Kingdom of the),Western Europe,2,3,0.22428964146143712,22,66.88482667017531,0.5217391304347826,0.8985507246376812,0.5217391304347826
0000-0001-7037-089X,Male,Asia,India,Southern Asia,2,4,0.08693178044770265,12,27.532044705076842,0.2608695652173913,0.7536231884057971,0.26811594202898553
0000-0001-7176-4604,Male,Europe,Austria,Western Europe,2,4,0.08691132644539161,11,8.655284700679436,0.2463768115942029,0.34782608695652173,0.2318840579710145
0000-0001-7687-9267,Male,Asia,China,Eastern Asia,3,1,0.808209706589134,29,8.923153325779044,0.8043478260869565,0.42028985507246375,0.644927536231884
0000-0001-8008-6198,Male,Americas,Mexico,Central America,2,3,0.19099759932027152,21,12.827014557995511,0.463768115942029,0.5289855072463768,0.45652173913043476
